1,11000,AW00011000,Jon,Yang,Male,Married,Australia,10/6/1971
2,11001,AW00011001,Eugene,Huang,Male,Single,Australia,5/10/1976
3,11002,AW00011002,Ruben,Torres,Male,Married,Australia,2/9/1971
4,11003,AW00011003,Christy,Zhu,Female,Single,Australia,8/14/1973
5,11004,AW00011004,Elizabeth,Johnson,Female,Single,Australia,8/5/1979
6,11005,AW00011005,Julio,Ruiz,Male,Single,Australia,8/1/1976
7,11006,AW00011006,Janet,Alvarez,Female,Single,Australia,12/2/1976
8,11007,AW00011007,Marco,Mehta,Male,Married,Australia,11/6/1969
9,11008,AW00011008,Rob,Verhoff,Female,Single,Australia,7/4/1975
10,11009,AW00011009,Shannon,Carlson,Male,Single,Australia,9/29/1969
11,11010,AW00011010,Jacquelyn,Suarez,Female,Single,Australia,8/5/1969
12,11011,AW00011011,Curtis,Lu,Male,Married,Australia,5/3/1969
13,11012,AW00011012,Lauren,Walker,Female,Married,United States,1/14/1979
14,11013,AW00011013,Ian,Jenkins,Male,Married,United States,8/3/1979
15,11014,AW00011014,Sydney,Bennett,Female,Single,United States,11/6/1973
16,11015,AW00011015,Chloe,Young,Female,Single,United States,8/26/1984
17,11016,AW00011016,Wyatt,Hill,Male,Married,United States,10/25/1984
18,11017,AW00011017,Shannon,Wang,Female,Single,Australia,12/24/1949
19,11018,AW00011018,Clarence,Rai,Male,Single,Australia,10/6/1955
20,11019,AW00011019,Luke,Lal,Male,Single,Canada,9/4/1983
21,11020,AW00011020,Jordan,King,Male,Single,Canada,3/19/1984
22,11021,AW00011021,Destiny,Wilson,Female,Single,United States,3/2/1984
23,11022,AW00011022,Ethan,Zhang,Male,Married,United States,4/10/1984
24,11023,AW00011023,Seth,Edwards,Male,Married,United States,4/9/1984
25,11024,AW00011024,Russell,Xie,Male,Married,United States,3/16/1984
26,11025,AW00011025,Alejandro,Beck,Male,Married,Australia,6/22/1951
27,11026,AW00011026,Harold,Sai,Male,Single,Australia,10/1/1951
28,11027,AW00011027,Jessie,Zhao,Male,Married,Australia,6/5/1952
29,11028,AW00011028,Jill,Jimenez,Female,Married,Australia,10/9/1951
30,11029,AW00011029,Jimmy,Moreno,Male,Married,Australia,6/19/1952
31,11030,AW00011030,Bethany,Yuan,Female,Married,Australia,2/18/1958
32,11031,AW00011031,Theresa,Ramos,Female,Married,Australia,2/18/1953
33,11032,AW00011032,Denise,Stone,Female,Married,Australia,12/8/1952
34,11033,AW00011033,Jaime,Nath,Male,Married,Australia,9/19/1958
35,11034,AW00011034,Ebony,Gonzalez,Female,Married,Australia,12/16/1952
36,11035,AW00011035,Wendy,Dominguez,Female,Married,Australia,8/23/1953
37,11036,AW00011036,Jennifer,Russell,Female,Married,United States,6/16/1984
38,11037,AW00011037,Chloe,Garcia,Female,Single,Canada,5/27/1983
39,11038,AW00011038,Diana,Hernandez,Female,Married,Australia,9/20/1953
40,11039,AW00011039,Marc,Martin,Male,Married,Australia,6/16/1954
41,11040,AW00011040,Jesse,Murphy,Male,Married,United States,1/29/1983
42,11041,AW00011041,Amanda,Carter,Female,Married,United States,4/15/1983
43,11042,AW00011042,Megan,Sanchez,Female,Married,United States,12/11/1982
44,11043,AW00011043,Nathan,Simmons,Male,Married,United States,8/23/1981
45,11044,AW00011044,Adam,Flores,Male,Married,Australia,11/21/1954
46,11045,AW00011045,Leonard,Nara,Male,Single,Australia,11/16/1955
47,11046,AW00011046,Christine,Yuan,Female,Married,Australia,9/19/1955
48,11047,AW00011047,Jaclyn,Lu,Female,Married,Australia,8/27/1955
49,11048,AW00011048,Jeremy,Powell,Male,Married,Australia,5/21/1956
50,11049,AW00011049,Carol,Rai,Female,Single,United States,1/15/1986
51,11050,AW00011050,Alan,Zheng,Male,Married,Australia,3/6/1957
52,11051,AW00011051,Daniel,Johnson,Male,Single,Australia,1/31/1957
53,11052,AW00011052,Heidi,Lopez,Female,Single,Australia,2/3/1957
54,11053,AW00011053,Ana,Price,Female,Married,United States,2/17/1986
55,11054,AW00011054,Deanna,Munoz,Female,Married,Australia,9/7/1957
56,11055,AW00011055,Gilbert,Raje,Male,Married,Australia,9/2/1957
57,11056,AW00011056,Michele,Nath,Female,Married,Australia,10/1/1958
58,11057,AW00011057,Carl,Andersen,Male,Married,Australia,4/7/1970
59,11058,AW00011058,Marc,Diaz,Male,Married,Australia,4/23/1965
60,11059,AW00011059,Ashlee,Andersen,Female,Single,Australia,9/29/1959
61,11060,AW00011060,Jon,Zhou,Male,Married,Australia,9/14/1959
62,11061,AW00011061,Todd,Gao,Male,Married,Australia,2/20/1976
63,11062,AW00011062,Noah,Powell,Male,Married,United States,3/1/1981
64,11063,AW00011063,Angela,Murphy,Female,Single,United States,10/4/1980
65,11064,AW00011064,Chase,Reed,Male,Married,United States,6/5/1981
66,11065,AW00011065,Jessica,Henderson,Female,Married,United States,4/8/1979
67,11066,AW00011066,Grace,Butler,Female,Married,United States,5/27/1979
68,11067,AW00011067,Caleb,Carter,Male,Single,United States,3/25/1982
69,11068,AW00011068,Tiffany,Liang,Female,Single,Australia,9/19/1966
70,11069,AW00011069,Carolyn,Navarro,Female,Single,Australia,9/17/1966
71,11070,AW00011070,Willie,Raji,Male,Married,Australia,10/2/1960
72,11071,AW00011071,Linda,Serrano,Female,Single,Australia,12/23/1960
73,11072,AW00011072,Casey,Luo,Female,Single,Australia,8/5/1960
74,11073,AW00011073,Amy,Ye,Female,Single,Australia,2/11/1962
75,11074,AW00011074,Levi,Arun,Male,Single,Australia,2/25/1962
76,11075,AW00011075,Felicia,Jimenez,Female,Single,Australia,5/16/1963
77,11076,AW00011076,Blake,Anderson,Male,Single,Australia,1/10/1963
78,11077,AW00011077,Leah,Ye,Female,Single,Australia,3/19/1963
79,11078,AW00011078,Gina,Martin,Female,Single,Canada,1/6/1985
80,11079,AW00011079,Donald,Gonzalez,Male,Single,Australia,3/7/1970
81,11080,AW00011080,Damien,Chander,Male,Married,Australia,1/13/1965
82,11081,AW00011081,Savannah,Baker,Female,Married,United States,1/21/1972
83,11082,AW00011082,Angela,Butler,Female,Single,United States,2/1/1972
84,11083,AW00011083,Alyssa,Cox,Female,Married,United States,3/11/1977
85,11084,AW00011084,Lucas,Phillips,Male,Single,United States,3/12/1963
86,11085,AW00011085,Emily,Johnson,Female,Single,United States,1/16/1963
87,11086,AW00011086,Ryan,Brown,Male,Married,United States,6/22/1963
88,11087,AW00011087,Tamara,Liang,Female,Married,United States,4/2/1963
89,11088,AW00011088,Hunter,Davis,Male,Married,United States,5/25/1963
90,11089,AW00011089,Abigail,Price,Female,Single,United States,8/5/1962
91,11090,AW00011090,Trevor,Bryant,Male,Single,United States,12/13/1968
92,11091,AW00011091,Dalton,Perez,Male,Married,Canada,10/2/1962
93,11092,AW00011092,Cheryl,Diaz,Female,Married,Australia,11/2/1972
94,11093,AW00011093,Aimee,He,Female,Married,Australia,9/6/1978
95,11094,AW00011094,Cedric,Ma,Male,Single,Australia,9/29/1967
96,11095,AW00011095,Chad,Kumar,Male,Single,Australia,2/29/1968
97,11096,AW00011096,Andr├⌐s,Anand,Male,Married,Australia,2/7/1968
98,11097,AW00011097,Edwin,Nara,Male,Married,Australia,10/23/1972
99,11098,AW00011098,Mallory,Rubio,Female,Single,Australia,10/29/1966
100,11099,AW00011099,Adam,Ross,Male,Married,Australia,9/5/1966
101,11100,AW00011100,Latasha,Navarro,Female,Single,Australia,3/15/1966
102,11101,AW00011101,Abby,Sai,Female,Single,Australia,11/5/1970
103,11102,AW00011102,Julia,Nelson,Female,Single,Australia,10/19/1970
104,11103,AW00011103,Cassie,Chande,Female,Single,Australia,4/12/1981
105,11104,AW00011104,Edgar,Sara,Male,Married,Australia,3/8/1975
106,11105,AW00011105,Candace,Fernandez,Female,Single,Australia,6/27/1970
107,11106,AW00011106,Jessie,Liu,Male,Single,Australia,3/11/1970
108,11107,AW00011107,Bianca,Lin,Female,Married,Australia,3/4/1976
109,11108,AW00011108,Kari,Alvarez,Female,Single,Australia,1/10/1969
110,11109,AW00011109,Ruben,Kapoor,Male,Single,Australia,4/30/1980
111,11110,AW00011110,Curtis,Yang,Male,Married,Australia,12/4/1967
112,11111,AW00011111,Meredith,Gutierrez,Female,Married,Australia,8/23/1967
113,11112,AW00011112,Crystal,Wang,Female,Married,Australia,3/8/1968
114,11113,AW00011113,Micheal,Blanco,Male,Married,Australia,2/17/1973
115,11114,AW00011114,Leslie,Moreno,Female,Single,Australia,11/25/1967
116,11115,AW00011115,Alvin,Cai,Male,Married,Australia,8/12/1967
117,11116,AW00011116,Clinton,Carlson,Male,Married,Australia,4/2/1979
118,11117,AW00011117,April,Deng,Female,Married,Australia,8/21/1966
119,11118,AW00011118,Alvin,Zeng,Male,Single,Australia,12/31/1962
120,11119,AW00011119,Evan,James,Male,Single,Australia,10/7/1940
121,11120,AW00011120,Beth,Jim├⌐nez,Female,Single,Australia,2/6/1942
122,11121,AW00011121,Orlando,Suarez,Male,Married,Australia,5/18/1966
123,11122,AW00011122,Byron,Vazquez,Male,Married,Australia,9/30/1965
124,11123,AW00011123,Philip,Alvarez,Male,Married,Australia,12/18/1965
125,11124,AW00011124,Ross,Jordan,Male,Single,Australia,7/23/1968
126,11125,AW00011125,Dana,Navarro,Female,Single,Australia,10/6/1961
127,11126,AW00011126,Shaun,Carson,Male,Married,Australia,10/5/1954
128,11127,AW00011127,Jan,Edwards,Female,Married,United States,4/19/1981
129,11128,AW00011128,Samantha,Long,Female,Married,United States,6/3/1981
130,11129,AW00011129,Julia,Wright,Female,Single,United States,2/1/1981
131,11130,AW00011130,Caroline,Russell,Female,Married,United States,7/5/1985
132,11131,AW00011131,Amanda,Rivera,Female,Married,Canada,9/9/1985
133,11132,AW00011132,Melissa,Richardson,Female,Single,Canada,4/25/1986
134,11133,AW00011133,Angela,Griffin,Female,Single,United States,3/8/1986
135,11134,AW00011134,Larry,Townsend,Male,Single,Australia,2/22/1957
136,11135,AW00011135,Marcus,Harris,Male,Single,United States,5/2/1985
137,11136,AW00011136,Brianna,Morgan,Female,Single,Canada,4/24/1984
138,11137,AW00011137,Jasmine,Taylor,Female,Married,United States,1/17/1984
